_id,X,Y,ADDRESS,NAME,ZIP,PARCEL_ID,OBJECTID,BLDG_ID,BID,POINT_X,POINT_Y,NEIGHBORHOOD,CITY,FT_SQFT,STORY_HT,District
1,757882.716119558,2918709.80817914,1249 Hyde Park Ave,District E-18 Police Station,02136,1809107000,1,Bos_1809107000_B0,100639,757882.7161196,2918709.80817918,Hyde Park,Boston,8585,2,E18
2,751313.455964133,2929725.22742122,1708 Centre St,District E-5 Police Station,02132,2005719000,2,Bos_2005719000_B0,112112,751313.45596419,2929725.22742127,West Roxbury,Boston,7708,2,E5
3,783655.30236955,2964399.6744764,300 E Eagle St,District A-7 Police Station,02128,0103711003,3,Bos_0103711003_B0,222774,783655.302,2964399.674,East Boston,Boston,,3,A7
4,775000.193367466,2957181.41102581,40 Sudbury St,District A-1 Police Station,02114,0302626000,4,Bos_0302626000_B0,136171,775000.19336753,2957181.41102585,Boston,Boston,6882,5,A1
5,750621.846126884,2952538.58205689,301 Washington St,District D-14 Police Station,02135,2202387000,5,Bos_2202387000_B0,145004,750621.84612694,2952538.58205694,Brighton,Boston,8712,2,D14
6,776123.775109798,2962523.04371522,20 Vine St,District A-15 Police Station,02129,0202644020,6,Bos_0202644020_B0,148316,776123.77510986,2962523.04371527,Charlestown,Boston,,,A15
7,776491.052918553,2949659.65507197,101 W Broadway,District C-6 Police Station,02127,0600118000,7,Bos_0600118000_B0,154919,776491.05291861,2949659.65507202,South Boston,Boston,8528,2,C6
8,772627.277181551,2949011.41128972,650 Harrison Ave,District D-4 Police Station,02118,0801170010,8,Bos_0801170010_B0,162100,772627.27718161,2949011.41128977,Boston,Boston,12382,3,D4
9,766821.655590728,2947070.5513263,1 Schroeder Plz,Boston Police Headquarters,02120,0902771010,9,Bos_0902771010_B0,163892,766821.65559077,2947070.55132635,Roxbury,Boston,194000,4,
10,768200.917595968,2944961.00797322,2400 Washington St,District B-2 Police Station,02119,1201261000,10,Bos_1201261000_B0,176508,768200.91759603,2944961.00797327,Roxbury,Boston,10809,3,B2
11,763106.941235393,2938135.58428815,3345 Washington St,District E-13 Police Station,02130,1102261000,11,Bos_1102261000_B0,180965,763106.94123544,2938135.58428818,Jamaica Plain,Boston,8312,2,E13
12,766649.868860811,2929044.05161823,1165 Blue Hill Ave,District B-3 Police Station,02124,1404623000,12,Bos_1404623000_B0,186089,766649.86886086,2929044.05161826,Mattapan,Boston,9740,1.5,B3
13,775429.012391716,2933947.91156115,40 Gibson St,District C-11 Police Station,02122,1600673000,13,Bos_1600673000_B0,189445,775429.01239178,2933947.91156119,Dorchester,Boston,15338,2,C11
